Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),21.36,14.29,27.76,213.61,14.36,14.62,14.94,16.18,21.84,26.57,27.65,27.70,27.75,5.55
Error Input Sequence Length (tokens),9.00,6.00,12.00,90.00,6.00,6.00,6.00,6.00,9.00,12.00,12.00,12.00,12.00,3.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,13.90,8.00,20.00,139.00,8.00,8.00,8.00,8.00,13.50,20.00,20.00,20.00,20.00,5.91
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.20,0.00,12.04,12.04,0.00,0.00,0.00,0.00,0.00,0.00,1.20,6.62,10.96,3.61
HTTP Connection Overhead (ms),1.20,0.00,12.04,12.04,0.00,0.00,0.00,0.00,0.00,0.00,1.20,6.62,10.96,3.61
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),3.17,1.81,4.54,31.71,1.81,1.81,1.81,1.81,3.17,4.54,4.54,4.54,4.54,1.36
HTTP Data Sent (KB),0.14,0.13,0.14,1.37,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),509.12,355.58,640.83,5091.20,358.79,371.60,387.61,398.96,518.46,615.27,632.63,636.73,640.01,111.63
HTTP Receiving (ms),506.24,354.00,639.55,5062.35,357.15,369.75,385.51,394.05,516.36,614.17,631.48,635.52,638.74,112.89
HTTP Sending (ms),1.78,0.30,12.74,17.79,0.30,0.31,0.31,0.32,0.35,0.85,2.58,7.66,11.73,3.67
HTTP Total Time (ms),510.32,355.58,640.83,5103.24,358.79,371.60,387.61,401.98,518.46,615.27,632.63,636.73,640.01,110.75
HTTP Waiting (TTFB) (ms),1.11,0.69,2.09,11.06,0.70,0.74,0.78,0.82,0.89,1.17,1.85,1.97,2.06,0.45
Input Sequence Length (tokens),9.50,9.00,10.00,95.00,9.00,9.00,9.00,9.00,9.50,10.00,10.00,10.00,10.00,0.50
Inter Chunk Latency (ms),20.53,0.00,44.97,2258.72,16.66,19.42,20.17,20.30,20.47,20.65,20.94,21.90,24.91,3.19
Inter Token Latency (ms),21.92,20.33,23.34,219.24,20.33,20.34,20.35,20.36,22.39,23.24,23.25,23.29,23.33,1.37
Output Sequence Length (tokens),11.00,6.00,16.00,110.00,6.00,6.00,6.00,6.00,11.00,16.00,16.00,16.00,16.00,5.00
Output Token Count (tokens),11.00,6.00,16.00,110.00,6.00,6.00,6.00,6.00,11.00,16.00,16.00,16.00,16.00,5.00
Output Token Throughput Per User (tokens/sec/user),45.79,42.85,49.19,457.93,42.87,42.93,43.01,43.03,44.71,49.11,49.15,49.17,49.18,2.89
Prefill Throughput Per User (tokens/sec/user),36.68,28.28,44.19,366.78,28.51,29.44,30.59,33.44,37.42,39.55,43.38,43.79,44.11,4.91
Request Latency (ms),488.29,335.27,620.45,4882.91,338.46,351.24,367.21,378.16,498.09,594.20,612.22,616.34,619.63,111.54
Time to First Output Token (ms),262.42,226.30,318.20,2624.19,226.72,228.41,230.53,237.82,265.86,271.19,294.38,306.29,315.82,27.23
Time to First Token (ms),262.42,226.30,318.20,2624.19,226.72,228.41,230.53,237.82,265.86,271.19,294.38,306.29,315.82,27.23
Time to Second Token (ms),20.61,20.44,21.08,206.11,20.44,20.46,20.49,20.53,20.56,20.64,20.70,20.89,21.05,0.17

Metric,Value
Benchmark Duration (sec),5.26
Error Request Count,10.00
Output Token Throughput (tokens/sec),20.92
Request Count,10.00
Request Throughput (requests/sec),1.90
Total Error Input Sequence Length (tokens),90.00
Total Input Sequence Length (tokens),95.00
Total Output Sequence Length (tokens),110.00
Total Output Tokens (tokens),110.00
Total Token Throughput (tokens/sec),38.98


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
