Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),28.46,22.80,31.56,426.88,22.83,22.94,24.53,26.99,27.61,31.25,31.51,31.56,31.56,2.90
Error Input Sequence Length (tokens),9.00,9.00,9.00,45.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,238.60,58.00,516.00,3579.00,58.00,58.00,58.00,58.00,142.00,515.50,516.00,516.00,516.00,198.99
HTTP Chunks Sent,1.00,1.00,1.00,15.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.59,0.00,10.47,23.85,0.00,0.00,0.00,0.00,0.00,2.29,3.49,5.69,9.52,2.71
HTTP Connection Overhead (ms),1.59,0.00,10.47,23.85,0.00,0.00,0.00,0.00,0.00,2.29,3.49,5.69,9.52,2.71
HTTP Connection Reused (ratio),0.60,0.00,1.00,9.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),58.42,14.17,126.29,876.35,14.17,14.17,14.17,14.17,34.82,126.29,126.29,126.29,126.29,48.72
HTTP Data Sent (KB),0.15,0.14,0.16,2.30,0.14,0.14,0.14,0.14,0.16,0.16,0.16,0.16,0.16,0.01
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),8097.52,2057.72,18842.91,121462.81,2063.57,2086.95,2100.20,2111.95,4508.00,16345.73,16914.97,17693.62,18613.05,6488.32
HTTP Receiving (ms),7991.46,2055.44,18837.71,119871.85,2058.96,2073.02,2088.39,2108.47,4506.11,16340.98,16911.04,17689.46,18608.06,6530.59
HTTP Sending (ms),4.35,0.30,17.43,65.18,0.30,0.30,0.30,0.39,2.76,4.46,13.15,15.33,17.01,5.33
HTTP Total Time (ms),8099.11,2057.72,18844.79,121486.66,2063.57,2086.95,2100.20,2111.95,4508.00,16348.58,16917.81,17695.97,18615.02,6489.31
HTTP Waiting (TTFB) (ms),101.72,0.63,1499.48,1525.78,0.63,0.63,0.64,0.70,1.12,2.20,6.58,454.88,1290.56,373.57
Input Sequence Length (tokens),9.67,6.00,14.00,145.00,6.00,6.00,6.00,6.00,9.00,14.00,14.00,14.00,14.00,3.30
Inter Chunk Latency (ms),32.04,0.00,625.41,113247.73,24.82,27.73,27.94,29.34,30.28,31.55,33.12,34.65,55.94,23.91
Inter Token Latency (ms),31.32,28.96,41.33,469.79,29.00,29.15,29.33,29.55,29.99,31.12,34.56,37.47,40.56,3.15
Output Sequence Length (tokens),236.67,56.00,514.00,3550.00,56.00,56.00,56.00,56.00,140.00,514.00,514.00,514.00,514.00,199.08
Output Token Count (tokens),236.67,56.00,514.00,3550.00,56.00,56.00,56.00,56.00,140.00,514.00,514.00,514.00,514.00,199.08
Output Token Throughput Per User (tokens/sec/user),32.20,24.20,34.53,482.96,24.72,26.80,28.99,32.14,33.34,33.84,34.09,34.31,34.49,2.68
Prefill Throughput Per User (tokens/sec/user),21.97,4.75,34.87,329.58,6.00,10.99,13.78,14.38,21.90,31.54,32.91,33.67,34.63,8.88
Request Latency (ms),8066.24,2028.41,18783.18,120993.58,2034.38,2058.25,2071.32,2082.19,4480.02,16315.89,16881.43,17651.27,18556.80,6483.91
Time to First Output Token (ms),516.39,381.98,1894.83,7745.85,383.91,391.63,397.41,405.65,422.33,434.77,444.57,881.45,1692.15,368.83
Time to First Token (ms),516.39,381.98,1894.83,7745.85,383.91,391.63,397.41,405.65,422.33,434.77,444.57,881.45,1692.15,368.83
Time to Second Token (ms),29.94,27.56,34.01,449.16,27.64,27.94,28.14,28.49,29.83,30.89,32.23,33.08,33.83,1.75

Metric,Value
Benchmark Duration (sec),274.14
Error Request Count,5.00
Output Token Throughput (tokens/sec),12.95
Request Count,15.00
Request Throughput (requests/sec),0.05
Total Error Input Sequence Length (tokens),45.00
Total Input Sequence Length (tokens),145.00
Total Output Sequence Length (tokens),3550.00
Total Output Tokens (tokens),3550.00
Total Token Throughput (tokens/sec),13.48


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
